Files already downloaded and verified
Market1501 dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   676 |    11744
  val      |    75 |     1192
  trainval |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
Files already downloaded and verified
DukeMTMC dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   632 |    14923
  val      |    70 |     1599
  trainval |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
Resuming checkpoints from finetuned model on another dataset...

=> Loaded checkpoint 'ACT_pretrain/logMar/adaM2D.pth'
Mean AP: 49.4%
CMC Scores    allshots      cuhk03  market1501
  top-1          33.3%       52.1%       67.7%
  top-5          45.8%       68.7%       80.3%
  top-10         51.5%       74.5%       83.4%
Iteration 1: Extracting Target Dataset Features...
Computing source distance...
-----* Distance Matrix has been computed*-----
Computing original distance...
-----* Distance Matrix has been computed*-----
done...
Starting re_ranking...
clusters num = 664
Iteration 1 have 13778 training images
Epoch: [3][13/41]	Time 1.214 (1.083)	Data 0.001 (0.292)	Loss 0.060 (0.057)	Prec 100.00% (97.68%)	
Epoch: [3][14/41]	Time 0.590 (1.048)	Data 0.009 (0.271)	Loss 0.081 (0.059)	Prec 97.92% (97.69%)	
Epoch: [3][15/41]	Time 0.725 (1.026)	Data 0.000 (0.253)	Loss 0.070 (0.059)	Prec 94.79% (97.50%)	
Epoch: [3][16/41]	Time 0.729 (1.008)	Data 0.000 (0.238)	Loss 0.070 (0.060)	Prec 98.96% (97.59%)	
Epoch: [3][17/41]	Time 0.721 (0.991)	Data 0.001 (0.224)	Loss 0.100 (0.062)	Prec 90.62% (97.18%)	
Epoch: [3][18/41]	Time 0.413 (0.959)	Data 0.007 (0.212)	Loss 0.044 (0.061)	Prec 97.92% (97.22%)	
Epoch: [3][19/41]	Time 0.436 (0.931)	Data 0.000 (0.200)	Loss 0.056 (0.061)	Prec 96.88% (97.20%)	
Epoch: [3][20/41]	Time 0.697 (0.919)	Data 0.000 (0.190)	Loss 0.089 (0.063)	Prec 95.83% (97.14%)	
Epoch: [3][21/41]	Time 0.815 (0.914)	Data 0.001 (0.181)	Loss 0.082 (0.063)	Prec 95.83% (97.07%)	
Epoch: [3][22/41]	Time 0.521 (0.897)	Data 0.000 (0.173)	Loss 0.050 (0.063)	Prec 98.96% (97.16%)	
Epoch: [3][23/41]	Time 0.652 (0.886)	Data 0.001 (0.166)	Loss 0.037 (0.062)	Prec 96.88% (97.15%)	
Epoch: [3][24/41]	Time 0.772 (0.881)	Data 0.000 (0.159)	Loss 0.076 (0.062)	Prec 95.83% (97.09%)	
Epoch: [3][25/41]	Time 1.181 (0.893)	Data 0.001 (0.152)	Loss 0.050 (0.062)	Prec 96.88% (97.08%)	
Epoch: [3][26/41]	Time 1.036 (0.899)	Data 0.000 (0.147)	Loss 0.088 (0.063)	Prec 94.79% (97.00%)	
Epoch: [3][27/41]	Time 0.789 (0.895)	Data 0.001 (0.141)	Loss 0.075 (0.063)	Prec 96.88% (96.99%)	
Epoch: [3][28/41]	Time 0.363 (0.876)	Data 0.000 (0.136)	Loss 0.040 (0.062)	Prec 100.00% (97.10%)	
Epoch: [3][29/41]	Time 0.287 (0.855)	Data 0.001 (0.132)	Loss 0.071 (0.063)	Prec 98.96% (97.16%)	
Epoch: [3][30/41]	Time 0.541 (0.845)	Data 0.007 (0.127)	Loss 0.098 (0.064)	Prec 88.54% (96.88%)	
Epoch: [3][31/41]	Time 1.044 (0.851)	Data 0.000 (0.123)	Loss 0.037 (0.063)	Prec 100.00% (96.98%)	
Epoch: [3][32/41]	Time 0.997 (0.856)	Data 0.000 (0.119)	Loss 0.040 (0.062)	Prec 100.00% (97.07%)	
Epoch: [3][33/41]	Time 0.600 (0.848)	Data 0.000 (0.116)	Loss 0.041 (0.062)	Prec 96.88% (97.06%)	
Epoch: [3][34/41]	Time 0.277 (0.831)	Data 0.001 (0.112)	Loss 0.096 (0.063)	Prec 93.75% (96.97%)	
Epoch: [3][35/41]	Time 0.335 (0.817)	Data 0.000 (0.109)	Loss 0.091 (0.064)	Prec 94.79% (96.90%)	
Epoch: [3][36/41]	Time 0.349 (0.804)	Data 0.000 (0.106)	Loss 0.073 (0.064)	Prec 93.75% (96.82%)	
